date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:52:12	42820/42820	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Apr%202018%2008:42:54%20GMT	http://cryptomarkethtml.bdtask.com/assets/img/brand-logo/07.png	C:/My%20Web%20Sites/nishue333/cryptomarkethtml.bdtask.com/assets/img/brand-logo/07.png	(from http://cryptomarkethtml.bdtask.com/index.html)
19:52:14	40841/40841	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Apr%202018%2008:42:20%20GMT	http://cryptomarkethtml.bdtask.com/assets/img/brand-logo/08.png	C:/My%20Web%20Sites/nishue333/cryptomarkethtml.bdtask.com/assets/img/brand-logo/08.png	(from http://cryptomarkethtml.bdtask.com/index.html)
19:52:17	238990/238990	---M--	200	added ('OK')	image/jpeg	date:Tue,%2027%20Feb%202018%2023:48:10%20GMT	http://cryptomarkethtml.bdtask.com/assets/img/about.jpg	C:/My%20Web%20Sites/nishue333/cryptomarkethtml.bdtask.com/assets/img/about.jpg	(from http://cryptomarkethtml.bdtask.com/index.html)
19:52:21	23387/23387	---M--	200	added ('OK')	image/jpeg	date:Mon,%2005%20Mar%202018%2001:58:06%20GMT	http://cryptomarkethtml.bdtask.com/assets/img/blog/360x250-3.jpg	C:/My%20Web%20Sites/nishue333/cryptomarkethtml.bdtask.com/assets/img/blog/360x250-3.jpg	(from http://cryptomarkethtml.bdtask.com/index.html)
19:52:27	35605/35605	---M--	200	added ('OK')	image/jpeg	date:Mon,%2005%20Mar%202018%2001:54:58%20GMT	http://cryptomarkethtml.bdtask.com/assets/img/blog/360x250-4.jpg	C:/My%20Web%20Sites/nishue333/cryptomarkethtml.bdtask.com/assets/img/blog/360x250-4.jpg	(from http://cryptomarkethtml.bdtask.com/index.html)
19:52:34	135710/135710	---M--	200	added ('OK')	image/jpeg	date:Thu,%2015%20Feb%202018%2020:49:32%20GMT	http://cryptomarkethtml.bdtask.com/assets/img/blog/360x250-1.jpg	C:/My%20Web%20Sites/nishue333/cryptomarkethtml.bdtask.com/assets/img/blog/360x250-1.jpg	(from http://cryptomarkethtml.bdtask.com/index.html)
19:52:37	139993/139993	---M--	200	added ('OK')	image/jpeg	date:Thu,%2015%20Feb%202018%2020:49:52%20GMT	http://cryptomarkethtml.bdtask.com/assets/img/blog/360x250-2.jpg	C:/My%20Web%20Sites/nishue333/cryptomarkethtml.bdtask.com/assets/img/blog/360x250-2.jpg	(from http://cryptomarkethtml.bdtask.com/index.html)
19:52:37	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2011%20Dec%202022%2018:52:37%20GMT	http://cryptomarkethtml.bdtask.com/exchange.html	C:/My%20Web%20Sites/nishue333/cryptomarkethtml.bdtask.com/exchange.40.delayed	(from http://cryptomarkethtml.bdtask.com/index.html)
19:52:40	79188/79188	---M--	200	added ('OK')	image/jpeg	date:Thu,%2015%20Feb%202018%2020:54:18%20GMT	http://cryptomarkethtml.bdtask.com/assets/img/blog/360x250-5.jpg	C:/My%20Web%20Sites/nishue333/cryptomarkethtml.bdtask.com/assets/img/blog/360x250-5.jpg	(from http://cryptomarkethtml.bdtask.com/index.html)
19:52:47	37045/37045	---M--	200	added ('OK')	application/javascript	date:Mon,%2025%20Jul%202016%2022:53:30%20GMT	http://cryptomarkethtml.bdtask.com/assets/js/bootstrap.min.js	C:/My%20Web%20Sites/nishue333/cryptomarkethtml.bdtask.com/assets/js/bootstrap.min.js	(from http://cryptomarkethtml.bdtask.com/index.html)
